n02119789	kit fox, vulpes macrotis
n01563945	goldcrest, golden crested kinglet, regulus regulus
n01564101	gold crowned kinglet, regulus satrata
n01564217	ruby crowned kinglet, ruby crowned wren, regulus calendula
n01563746	kinglet
n01564773	blackcap, silvia atricapilla
n01565345	wood warbler, phylloscopus sibilatrix
n01565599	sedge warbler, sedge bird, sedge wren, reedbird, acrocephalus schoenobaenus
n01565930	wren warbler
n01566207	tailorbird, orthotomus sutorius
n01564394	old world warbler, true warbler
n01564914	greater whitethroat, whitethroat, sylvia communis
n01565078	lesser whitethroat, whitethroat, sylvia curruca
n01567678	parula warbler, northern parula, parula americana
n01567879	wilson's warbler, wilson's blackcap, wilsonia pusilla
n01568294	american redstart, redstart, setophaga ruticilla
n01568132	flycatching warbler
n01568720	cape may warbler, dendroica tigrina
n01568892	yellow warbler, golden warbler, yellowbird, dendroica petechia
n01569060	blackburn, blackburnian warbler, dendroica fusca
n01569262	audubon's warbler, audubon warbler, dendroica auduboni
n01569423	myrtle warbler, myrtle bird, dendroica coronata
n01569566	blackpoll, dendroica striate
n01569971	yellow breasted chat, icteria virens
n01569836	new world chat, chat
n01570267	ovenbird, seiurus aurocapillus
n01570421	water thrush
n01570839	common yellowthroat, maryland yellowthroat, geothlypis trichas
n01570676	yellowthroat
n01567133	new world warbler, wood warbler
n01563128	warbler
n01566645	babbler, cackler
n01571410	riflebird, ptloris paradisea
n01572489	baltimore oriole, baltimore bird, hangbird, firebird, icterus galbula galbula
n01572654	bullock's oriole, icterus galbula bullockii
n01572328	northern oriole, icterus galbula
n01572782	orchard oriole, icterus spurius
n01573240	eastern meadowlark, sturnella magna
n01573360	western meadowlark, sturnella neglecta
n01573074	meadowlark, lark
n01573627	cacique, cazique
n01573898	bobolink, ricebird, reedbird, dolichonyx oryzivorus
n01574560	purple grackle, quiscalus quiscula
n01574390	grackle, crow blackbird
n01574801	rusty blackbird, rusty grackle, euphagus carilonus
n01575117	cowbird
n01575401	red winged blackbird, redwing, agelaius phoeniceus
n01574045	new world blackbird, blackbird
n01571904	new world oriole, american oriole, oriole
n01576076	golden oriole, oriolus oriolus
n01576358	fig bird
n01575745	old world oriole, oriole
n01577035	common starling, sturnus vulgaris
n01577458	rose colored starling, rose colored pastor, pastor sturnus, pastor roseus
n01577941	crested myna, acridotheres tristis
n01578180	hill myna, indian grackle, grackle, gracula religiosa
n01577659	myna, mynah, mina, minah, myna bird, mynah bird
n01576695	starling
n01579149	american crow, corvus brachyrhyncos
n01579028	crow
n01579260	raven, corvus corax
n01579410	rook, corvus frugilegus
n01579578	jackdaw, daw, corvus monedula
n01579729	chough
n01580490	common european jay, garullus garullus
n01580379	old world jay
n01580870	blue jay, jaybird, cyanocitta cristata
n01580772	new world jay
n01581434	rocky mountain jay, perisoreus canadensis capitalis
n01581166	canada jay, grey jay, gray jay, camp robber, whisker jack, perisoreus canadensis
n01580077	jay
n01581874	common nutcracker, nucifraga caryocatactes
n01581984	clark's nutcracker, nucifraga columbiana
n01581730	nutcracker
n01582398	european magpie, pica pica
n01582498	american magpie, pica pica hudsonia
n01582220	magpie
n01578575	corvine bird
n01583209	butcherbird
n01583495	currawong, bell magpie
n01583828	piping crow, piping crow shrike, gymnorhina tibicen
n01582856	australian magpie
n01586941	mockingbird, mocker, mimus polyglotktos
n01587278	blue mockingbird, melanotis caerulescens
n01587526	catbird, grey catbird, gray catbird, dumetella carolinensis
n01588002	brown thrasher, brown thrush, toxostoma rufums
n01587834	thrasher, mocking thrush
n01588725	rock wren, xenicus gilviventris
n01588996	rifleman bird, acanthisitta chloris
n01588431	new zealand wren
n01589718	brown creeper, american creeper, certhia americana
n01589893	european creeper, certhia familiaris
n01590220	wall creeper, tichodrome, tichodroma muriaria
n01589286	creeper, tree creeper
n01591005	european nuthatch, sitta europaea
n01591123	red breasted nuthatch, sitta canadensis
n01591301	white breasted nuthatch, sitta carolinensis
n01592257	black capped chickadee, blackcap, parus atricapillus
n01592540	carolina chickadee, parus carolinensis
n01592084	chickadee
n01592387	tufted titmouse, parus bicolor
n01592694	blue tit, tomtit, parus caeruleus
n01593028	bushtit, bush tit
n01593282	wren tit, chamaea fasciata
n01593553	verdin, auriparus flaviceps
n01591697	titmouse, tit
n01594004	fairy bluebird, bluebird
n01594787	barn swallow, chimney swallow, hirundo rustica
n01594968	cliff swallow, hirundo pyrrhonota
n01595168	tree swallow, tree martin, hirundo nigricans
n01595450	white bellied swallow, tree swallow, iridoprocne bicolor
n01595974	house martin, delichon urbica
n01596273	bank martin, bank swallow, sand martin, riparia riparia
n01596608	purple martin, progne subis
n01595624	martin
n01594372	swallow
n01597022	wood swallow, swallow shrike
n01597737	scarlet tanager, piranga olivacea, redbird, firebird
n01597906	western tanager, piranga ludoviciana
n01598074	summer tanager, summer redbird, piranga rubra
n01598271	hepatic tanager, piranga flava hepatica
n01597336	tanager
n01599159	european shrike, lanius excubitor
n01599269	northern shrike, lanius borealis
n01599388	white rumped shrike, lanius ludovicianus excubitorides
n01598988	butcherbird
n01599556	loggerhead shrike, lanius lucovicianus
n01599741	migrant shrike, lanius ludovicianus migrans
n01600341	black fronted bush shrike, chlorophoneus nigrifrons
n01600085	bush shrike
n01598588	shrike
n01601068	satin bowerbird, satin bird, ptilonorhynchus violaceus
n01601410	great bowerbird, chlamydera nuchalis
n01600657	bowerbird, catbird
n01602080	european water ouzel, cinclus aquaticus
n01602209	american water ouzel, cinclus mexicanus
n01601694	water ouzel, dipper
n01602832	red eyed vireo, vireo olivaceous
n01603000	solitary vireo, vireo solitarius
n01603152	blue headed vireo, vireo solitarius solitarius
n01602630	vireo
n01603812	cedar waxwing, cedarbird, bombycilla cedrorun
n01603953	bohemian waxwing, bombycilla garrulus
n01603600	waxwing
n01525720	oscine, oscine bird
n01539925	english sparrow, house sparrow, passer domesticus
n01540090	tree sparrow, passer montanus
n01539573	sparrow, true sparrow
n01545574	lyrebird
n01546039	scrubbird, scrub bird, scrub bird
n01546506	broadbill
n01548492	arkansas kingbird, western kingbird
n01548694	cassin's kingbird, tyrannus vociferans
n01548865	eastern kingbird
n01549053	grey kingbird, gray kingbird, petchary, tyrannus domenicensis domenicensis
n01548301	kingbird, tyrannus tyrannus
n01549641	western wood pewee, contopus sordidulus
n01549430	pewee, peewee, peewit, pewit, wood pewee, contopus virens
n01549886	phoebe, phoebe bird, sayornis phoebe
n01550172	vermillion flycatcher, firebird, pyrocephalus rubinus mexicanus
n01551080	cock of the rock, rupicola rupicola
n01551300	cock of the rock, rupicola peruviana
n01552034	bellbird
n01552333	umbrella bird, cephalopterus ornatus
n01550761	cotinga, chatterer
n01555305	scissortail, scissortailed flycatcher, muscivora forficata
n01547832	new world flycatcher, flycatcher, tyrant flycatcher, tyrant bird
n01551711	manakin
n01552813	ovenbird
n01553527	ant thrush
n01553762	ant shrike
n01554017	spotted antbird, hylophylax naevioides
n01553142	antbird, ant bird
n01554448	woodhewer, woodcreeper, wood creeper, tree creeper
n01555004	pitta
n01546921	tyrannid
n01584695	winter wren, troglodytes troglodytes
n01584853	house wren, troglodytes aedon
n01585287	long billed marsh wren, cistothorus palustris
n01585422	sedge wren, short billed marsh wren, cistothorus platensis
n01585121	marsh wren
n01585715	rock wren, salpinctes obsoletus
n01586020	carolina wren, thryothorus ludovicianus
n01586374	cactus wren
n01584225	wren, jenny wren
n01524359	passerine, passeriform bird
n01524761	nonpasserine bird
n01604968	accipitriformes, order accipitriformes
n01606097	eyas
n01606177	tiercel, tercel, tercelet
n01606522	goshawk, accipiter gentilis
n01606672	sparrow hawk, accipiter nisus
n01606809	cooper's hawk, blue darter, accipiter cooperii
n01606978	chicken hawk, hen hawk
n01607309	buteonine
n01607429	redtail, red tailed hawk, buteo jamaicensis
n01607600	rough legged hawk, roughleg, buteo lagopus
n01607812	red shouldered hawk, buteo lineatus
n01607962	buzzard, buteo buteo
n01608265	honey buzzard, pernis apivorus
n01608814	black kite, milvus migrans
n01609062	swallow tailed kite, swallow tailed hawk, elanoides forficatus
n01609391	white tailed kite, elanus leucurus
n01608432	kite
n01609956	marsh harrier, circus aeruginosus
n01610100	montagu's harrier, circus pygargus
n01610226	marsh hawk, northern harrier, hen harrier, circus cyaneus
n01609751	harrier
n01610552	harrier eagle, short toed eagle
n01611674	falcon gentle, falcon gentil
n01611472	peregrine, peregrine falcon, falco peregrinus
n01611800	gyrfalcon, gerfalcon, falco rusticolus
n01611969	kestrel, falco tinnunculus
n01612122	sparrow hawk, american kestrel, kestrel, falco sparverius
n01612275	pigeon hawk, merlin, falco columbarius
n01612476	hobby, falco subbuteo
n01612955	audubon's caracara, polyborus cheriway audubonii
n01613177	carancha, polyborus plancus
n01612628	caracara
n01610955	falcon
n01616086	osprey, fish hawk, fish eagle, sea eagle, pandion haliaetus
n01605630	hawk
n01613807	eaglet
n01614038	harpy, harpy eagle, harpia harpyja
n01614343	golden eagle, aquila chrysaetos
n01614556	tawny eagle, aquila rapax
n01614925	bald eagle, american eagle, haliaeetus leucocephalus
n01615303	kamchatkan sea eagle, stellar's sea eagle, haliaeetus pelagicus
n01615458	ern, erne, grey sea eagle, gray sea eagle, european sea eagle, white tailed sea eagle, haliatus albicilla
n01615703	fishing eagle, haliaeetus leucorhyphus
n01615121	sea eagle
n01613294	eagle, bird of jove
n01616551	aegypiidae, family aegypiidae
n01617095	griffon vulture, griffon, gyps fulvus
n01617443	bearded vulture, lammergeier, lammergeyer, gypaetus barbatus
n01617766	egyptian vulture, pharaoh's chicken, neophron percnopterus
n01618082	black vulture, aegypius monachus
n01616764	old world vulture
n01619310	buzzard, turkey buzzard, turkey vulture, cathartes aura
n01619835	andean condor, vultur gryphus
n01620135	california condor, gymnogyps californianus
n01619536	condor
n01620414	black vulture, carrion crow, coragyps atratus
n01620735	king vulture, sarcorhamphus papa
n01618922	new world vulture, cathartid
n01616318	vulture
n01618503	secretary bird, sagittarius serpentarius
n01621635	owlet
n01622120	little owl, athene noctua
n01622483	great horned owl, bubo virginianus
n01622352	horned owl
n01622779	great grey owl, great gray owl, strix nebulosa
n01622959	tawny owl, strix aluco
n01623110	barred owl, strix varia
n01623425	screech owl, otus asio
n01623615	screech owl
n01624115	old world scops owl, otus scops
n01624212	oriental scops owl, otus sunia
n01623706	scops owl
n01623880	spotted owl, strix occidentalis
n01624305	hoot owl
n01624537	hawk owl, surnia ulula
n01624833	long eared owl, asio otus
n01625121	laughing owl, laughing jackass, sceloglaux albifacies
n01625562	barn owl, tyto alba
n01621127	owl, bird of minerva, bird of night, hooter
n01604330	bird of prey, raptor, raptorial bird
n01790171	dorking
n01790304	plymouth rock
n01790398	cornish, cornish fowl
n01790557	rock cornish
n01790711	game fowl
n01790812	cochin, cochin china
n01792042	chick, biddy
n01792429	cockerel
n01792158	cock, rooster
n01792530	capon
n01792808	cackler
n01792955	brood hen, broody, broody hen, setting hen, sitter
n01793085	mother hen
n01793159	layer
n01793249	pullet
n01792640	hen, biddy
n01793340	spring chicken
n01793435	rhode island red
n01793565	dominique, dominick
n01793715	orpington
n01791625	chicken, gallus gallus
n01791954	bantam
n01794344	turkey cock, gobbler, tom, tom turkey
n01794158	turkey, meleagris gallopavo
n01809371	guinea hen
n01809106	guinea fowl, guinea, numida meleagris
n01789740	domestic fowl, fowl, poultry
n01791314	jungle cock
n01791388	jungle hen
n01791463	red jungle fowl, gallus gallus
n01791107	jungle fowl, gallina
n01794651	ocellated turkey, agriocharis ocellata
n01800195	piping guan
n01799302	guan
n01799679	curassow
n01800633	texas chachalaca, ortilis vetula macalli
n01800424	chachalaca
n01801672	mallee hen
n01801479	mallee fowl, leipoa, lowan, leipoa ocellata
n01801876	brush turkey, alectura lathami
n01802159	maleo, macrocephalon maleo
n01801088	megapode, mound bird, mound bird, mound builder, scrub fowl
n01809752	hoatzin, hoactzin, stinkbird, opisthocomus hoazin
n01811243	dodo, raphus cucullatus
n01812187	pouter pigeon, pouter
n01813532	streptopelia turtur
n01813658	ringdove, streptopelia risoria
n01813385	turtledove
n01813948	australian turtledove, turtledove, stictopelia cuneata
n01814217	mourning dove, zenaidura macroura
n01812337	dove
n01812662	rock dove, rock pigeon, columba livia
n01812866	band tailed pigeon, band tail pigeon, bandtail, columba fasciata
n01813088	wood pigeon, ringdove, cushat, columba palumbus
n01814620	fairy swallow
n01814755	roller, tumbler, tumbler pigeon
n01815036	carrier pigeon
n01814921	homing pigeon, homer
n01814370	domestic pigeon
n01814549	squab
n01815270	passenger pigeon, ectopistes migratorius
n01811909	pigeon
n01816017	painted sandgrouse, pterocles indicus
n01816140	pin tailed sandgrouse, pin tailed grouse, pterocles alchata
n01816474	pallas's sandgrouse, syrrhaptes paradoxus
n01815601	sandgrouse, sand grouse
n01810700	columbiform bird
n01795735	european black grouse, heathfowl, lyrurus tetrix
n01795900	asian black grouse, lyrurus mlokosiewiczi
n01796019	blackcock, black cock
n01796105	greyhen, grayhen, grey hen, gray hen, heath hen
n01795545	black grouse
n01796729	moorhen
n01796519	red grouse, moorfowl, moorbird, moor bird, moorgame, lagopus scoticus
n01796340	ptarmigan
n01797020	capercaillie, capercailzie, horse of the wood, tetrao urogallus
n01797307	spruce grouse, canachites canadensis
n01797601	sage grouse, sage hen, centrocercus urophasianus
n01797886	ruffed grouse, partridge, bonasa umbellus
n01798168	sharp tailed grouse, sprigtail, sprig tail, pedioecetes phasianellus
n01798706	greater prairie chicken, tympanuchus cupido
n01798839	lesser prairie chicken, tympanuchus pallidicinctus
n01798979	heath hen, tympanuchus cupido cupido
n01798484	prairie chicken, prairie grouse, prairie fowl
n01795088	grouse
n01803362	ring necked pheasant, phasianus colchicus
n01803641	afropavo, congo peafowl, afropavo congensis
n01803893	argus, argus pheasant
n01804163	golden pheasant, chrysolophus pictus
n01805321	monal, monaul
n01806061	peachick, pea chick
n01806143	peacock
n01806297	peahen
n01806364	blue peafowl, pavo cristatus
n01806467	green peafowl, pavo muticus
n01805801	peafowl, bird of juno
n01807105	tragopan
n01803078	pheasant
n01804653	northern bobwhite, colinus virginianus
n01804478	bobwhite, bobwhite quail, partridge
n01805070	migratory quail, coturnix coturnix, coturnix communis
n01804921	old world quail
n01806847	california quail, lofortyx californicus
n01806567	quail
n01807828	hungarian partridge, grey partridge, gray partridge, perdix perdix
n01808140	red legged partridge, alectoris ruffa
n01808291	greek partridge, rock partridge, alectoris graeca
n01808596	mountain quail, mountain partridge, oreortyx picta palmeri
n01807496	partridge
n01802721	phasianid
n01810268	tinamou, partridge
n02153203	game bird
n01789386	gallinaceous bird, gallinacean
n01817263	popinjay
n01817346	poll, poll parrot
n01817953	african grey, african gray, psittacus erithacus
n01818299	amazon
n01818515	macaw
n01818832	kea, nestor notabilis
n01819313	sulphur crested cockatoo, kakatoe galerita, cacatua galerita
n01819465	pink cockatoo, kakatoe leadbeateri
n01819115	cockatoo
n01819734	cockateel, cockatiel, cockatoo parrot, nymphicus hollandicus
n01820052	lovebird
n01820801	varied lorikeet, glossopsitta versicolor
n01821076	rainbow lorikeet, trichoglossus moluccanus
n01820546	lorikeet
n01820348	lory
n01821554	carolina parakeet, conuropsis carolinensis
n01821869	budgerigar, budgereegah, budgerygah, budgie, grass parakeet, lovebird, shell parakeet, melopsittacus undulatus
n01822300	ring necked parakeet, psittacula krameri
n01821203	parakeet, parrakeet, parroket, paraquet, paroquet, parroquet
n01816887	parrot
n01823414	european cuckoo, cuculus canorus
n01823740	black billed cuckoo, coccyzus erythropthalmus
n01824035	roadrunner, chaparral cock, geococcyx californianus
n01824344	ani
n01824749	crow pheasant, centropus sinensis
n01824575	coucal
n01823013	cuckoo
n01825278	touraco, turaco, turacou, turakoo
n01822602	cuculiform bird
n01826680	european roller, coracias garrulus
n01826844	ground roller
n01826364	roller
n01827793	eurasian kingfisher, alcedo atthis
n01828096	belted kingfisher, ceryle alcyon
n01828556	kookaburra, laughing jackass, dacelo gigas
n01827403	kingfisher
n01828970	bee eater
n01829413	hornbill
n01830042	euopean hoopoe, upupa epops
n01829869	hoopoe, hoopoo
n01830479	wood hoopoe
n01830915	motmot, momot
n01831360	tody
n01825930	coraciiform bird
n01832493	european swift, apus apus
n01832813	chimney swift, chimney swallow, chateura pelagica
n01833112	swiftlet, collocalia inexpectata
n01832167	swift
n01833415	tree swift, crested swift
n01834177	archilochus colubris
n01834540	thornbill
n01833805	hummingbird
n01831712	apodiform bird
n01835769	european goatsucker, european nightjar, caprimulgus europaeus
n01835918	chuck will's widow, caprimulgus carolinensis
n01836087	whippoorwill, caprimulgus vociferus
n01836673	poorwill, phalaenoptilus nuttallii
n01835276	goatsucker, nightjar, caprimulgid
n01837072	frogmouth
n01837526	oilbird, guacharo, steatornis caripensis
n01839086	green woodpecker, picus viridis
n01839330	downy woodpecker
n01839750	yellow shafted flicker, colaptes auratus, yellowhammer
n01839949	gilded flicker, colaptes chrysoides
n01840120	red shafted flicker, colaptes caper collaris
n01839598	flicker
n01840412	ivorybill, ivory billed woodpecker, campephilus principalis
n01840775	redheaded woodpecker, redhead, melanerpes erythrocephalus
n01841288	yellow bellied sapsucker, sphyrapicus varius
n01841441	red breasted sapsucker, sphyrapicus varius ruber
n01841102	sapsucker
n01841679	wryneck
n01841943	piculet
n01838598	woodpecker, peckerwood, pecker
n01842235	barbet
n01842504	puffbird
n01842788	honey guide
n01843065	jacamar
n01843719	toucanet
n01843383	toucan
n01838038	piciform bird
n01844746	resplendent quetzel, resplendent trogon, pharomacrus mocino
n01844551	quetzal, quetzal bird
n01844231	trogon
n01847000	drake
n01847089	quack quack
n01847170	duckling
n01847253	diving duck
n01847407	dabbling duck, dabbler
n01847806	mallard, anas platyrhynchos
n01847978	black duck, anas rubripes
n01848323	greenwing, green winged teal, anas crecca
n01848453	bluewing, blue winged teal, anas discors
n01848555	garganey, anas querquedula
n01848123	teal
n01848840	american widgeon, baldpate, anas americana
n01848648	widgeon, wigeon, anas penelope
n01848976	shoveler, shoveller, broadbill, anas clypeata
n01849157	pintail, pin tailed duck, anas acuta
n01849676	shelduck
n01849466	sheldrake
n01849863	ruddy duck, oxyura jamaicensis
n01850192	bufflehead, butterball, dipper, bucephela albeola
n01850553	barrow's goldeneye, bucephala islandica
n01850373	goldeneye, whistler, bucephela clangula
n01850873	canvasback, canvasback duck, aythya valisineria
n01851038	pochard, aythya ferina
n01851207	redhead, aythya americana
n01851573	greater scaup, aythya marila
n01851731	lesser scaup, lesser scaup duck, lake duck, aythya affinis
n01851375	scaup, scaup duck, bluebill, broadbill
n01851895	wild duck
n01852329	wood drake
n01852142	wood duck, summer duck, wood widgeon, aix sponsa
n01852400	mandarin duck, aix galericulata
n01852671	muscovy duck, musk duck, cairina moschata
n01853195	eider, eider duck
n01853666	common scoter, melanitta nigra
n01853498	scoter, scooter
n01853870	old squaw, oldwife, clangula hyemalis
n01854700	goosander, mergus merganser
n01854838	american merganser, mergus merganser americanus
n01855032	red breasted merganser, mergus serrator
n01855188	smew, mergus albellus
n01855476	hooded merganser, hooded sheldrake, lophodytes cucullatus
n01854415	merganser, fish duck, sawbill, sheldrake
n01852861	sea duck
n01846331	duck
n01856072	gosling
n01856155	gander
n01856380	chinese goose, anser cygnoides
n01856553	greylag, graylag, greylag goose, graylag goose, anser anser
n01857079	snow goose
n01856890	blue goose, chen caerulescens
n01857512	common brant goose, branta bernicla
n01857325	brant, brant goose, brent, brent goose
n01857632	honker, canada goose, canadian goose, branta canadensis
n01857851	barnacle goose, barnacle, branta leucopsis
n01855672	goose
n01845477	anseriform bird
n01860864	horned screamer, anhima cornuta
n01861330	chaja, chauna torquata
n01861148	crested screamer
n01860497	screamer
n01845132	waterfowl, water bird, waterbird
n01858281	coscoroba
n01858780	cob
n01858845	pen
n01858906	cygnet
n01859190	mute swan, cygnus olor
n01859325	whooper, whooper swan, cygnus cygnus
n01859689	whistling swan, cygnus columbianus columbianus
n01859852	bewick's swan, cygnus columbianus bewickii
n01859496	tundra swan, cygnus columbianus
n01860002	trumpeter, trumpeter swan, cygnus buccinator
n01860187	black swan, cygnus atratus
n01858441	swan
n02002556	white stork, ciconia ciconia
n02002724	black stork, ciconia nigra
n02003037	adjutant bird, adjutant, adjutant stork, leptoptilus dubius
n02003204	marabou, marabout, marabou stork, leptoptilus crumeniferus
n02003577	openbill
n02003839	jabiru, jabiru mycteria
n02004131	saddlebill, jabiru, ephippiorhynchus senegalensis
n02004492	policeman bird, black necked stork, jabiru, xenorhyncus asiaticus
n02004855	wood ibis, wood stork, flinthead, mycteria americana
n02002075	stork
n02005399	shoebill, shoebird, balaeniceps rex
n02006063	wood ibis, wood stork, ibis ibis
n02006364	sacred ibis, threskiornis aethiopica
n02005790	ibis
n02006985	common spoonbill, platalea leucorodia
n02007284	roseate spoonbill, ajaia ajaja
n02006656	spoonbill
n02007558	flamingo
n02008497	great blue heron, ardea herodius
n02008643	great white heron, ardea occidentalis
n02009380	snowy egret, snowy heron, egretta thula
n02009508	little egret, egretta garzetta
n02009750	great white heron, casmerodius albus
n02009912	american egret, great white heron, egretta albus
n02010272	cattle egret, bubulcus ibis
n02008796	egret
n02009229	little blue heron, egretta caerulea
n02010728	black crowned night heron, nycticorax nycticorax
n02011016	yellow crowned night heron, nyctanassa violacea
n02010453	night heron, night raven
n02011281	boatbill, boat billed heron, broadbill, cochlearius cochlearius
n02011805	american bittern, stake driver, botaurus lentiginosus
n02011943	european bittern, botaurus stellaris
n02012185	least bittern, ixobrychus exilis
n02011460	bittern
n02008041	heron
n02013177	whooping crane, whooper, grus americana
n02012849	crane
n02013567	courlan, aramus guarauna
n02013706	limpkin, aramus pictus
n02014237	crested cariama, seriema, cariama cristata
n02014524	chunga, seriema, chunga burmeisteri
n02015357	weka, maori hen, wood hen
n02015797	corncrake, land rail, crex crex
n02016066	spotted crake, porzana porzana
n02015554	crake
n02017725	notornis, takahe, notornis mantelli
n02018207	american coot, marsh hen, mud hen, water hen, fulica americana
n02018368	old world coot, fulica atra
n02018027	coot
n02014941	rail
n02019190	great bustard, otis tarda
n02019438	plain turkey, choriotis australis
n02018795	bustard
n02020219	striped button quail, turnix sylvatica
n02019929	button quail, button quail, bustard quail, hemipode
n02020578	plain wanderer, pedionomus torquatus
n02021281	brazilian trumpeter, psophia crepitans
n02021050	trumpeter
n02023855	piping plover, charadrius melodus
n02023992	killdeer, kildeer, killdeer plover, charadrius vociferus
n02024185	dotterel, dotrel, charadrius morinellus, eudromias morinellus
n02024479	golden plover
n02024763	lapwing, green plover, peewit, pewit
n02025239	ruddy turnstone, arenaria interpres
n02025389	black turnstone, arenaria melanocephala
n02025043	turnstone
n02023341	plover
n02026948	european sandpiper, actitis hypoleucos
n02027075	spotted sandpiper, actitis macularia
n02027357	least sandpiper, stint, erolia minutilla
n02027492	red backed sandpiper, dunlin, erolia alpina
n02027897	greenshank, tringa nebularia
n02028035	redshank, tringa totanus
n02028342	greater yellowlegs, tringa melanoleuca
n02028451	lesser yellowlegs, tringa flavipes
n02028175	yellowlegs
n02028727	pectoral sandpiper, jacksnipe, calidris melanotos
n02028900	knot, greyback, grayback, calidris canutus
n02029087	curlew sandpiper, calidris ferruginea
n02029378	sanderling, crocethia alba
n02029706	upland sandpiper, upland plover, bartramian sandpiper, bartramia longicauda
n02030224	reeve
n02030035	ruff, philomachus pugnax
n02030568	polynesian tattler, heteroscelus incanus
n02030837	willet, catoptrophorus semipalmatus
n02030287	tattler
n02026059	sandpiper
n02026629	surfbird, aphriza virgata
n02031298	eurasian woodcock, scolopax rusticola
n02031585	american woodcock, woodcock snipe, philohela minor
n02030996	woodcock
n02032222	whole snipe, gallinago gallinago
n02032355	wilson's snipe, gallinago gallinago delicata
n02032480	great snipe, woodcock snipe, gallinago media
n02032769	jacksnipe, half snipe, limnocryptes minima
n02033208	greyback, grayback, limnodromus griseus
n02033324	red breasted snipe, limnodromus scolopaceus
n02033041	dowitcher
n02031934	snipe
n02033779	european curlew, numenius arquata
n02033882	eskimo curlew, numenius borealis
n02033561	curlew
n02034295	hudsonian godwit, limosa haemastica
n02034129	godwit
n02034971	black necked stilt, himantopus mexicanus
n02035210	black winged stilt, himantopus himantopus
n02035402	white headed stilt, himantopus himantopus leucocephalus
n02035656	kaki, himantopus novae zelandiae
n02034661	stilt, stiltbird, longlegs, long legs, stilt plover, himantopus stilt
n02036228	banded stilt, cladorhyncus leucocephalum
n02036053	stilt, australian stilt
n02036711	avocet
n02037110	oystercatcher, oyster catcher
n02037869	red phalarope, phalaropus fulicarius
n02038141	northern phalarope, lobipes lobatus
n02038466	wilson's phalarope, steganopus tricolor
n02037464	phalarope
n02038993	pratincole, glareole
n02039497	cream colored courser, cursorius cursor
n02039780	crocodile bird, pluvianus aegyptius
n02039171	courser
n02040266	stone curlew, thick knee, burhinus oedicnemus
n02022684	shorebird, shore bird, limicoline bird
n02000954	wading bird, wader
n02016659	florida gallinule, gallinula chloropus cachinnans
n02016816	moorhen, gallinula chloropus
n02017213	european gallinule, porphyrio porphyrio
n02017475	american gallinule, porphyrula martinica
n02016956	purple gallinule
n02016358	gallinule, marsh hen, water hen, swamphen
n02041678	mew, mew gull, sea mew, larus canus
n02041875	black backed gull, great black backed gull, cob, larus marinus
n02042046	herring gull, larus argentatus
n02042180	laughing gull, blackcap, pewit, pewit gull, larus ridibundus
n02042472	ivory gull, pagophila eburnea
n02042759	kittiwake
n02041246	gull, seagull, sea gull
n02043333	sea swallow, sterna hirundo
n02043063	tern
n02041085	larid
n02043808	skimmer
n02044517	parasitic jaeger, arctic skua, stercorarius parasiticus
n02044908	great skua, catharacta skua
n02044778	skua, bonxie
n02044178	jaeger
n02040505	coastal diving bird
n02045596	auklet
n02045864	razorbill, razor billed auk, alca torda
n02046171	little auk, dovekie, plautus alle
n02046939	black guillemot, cepphus grylle
n02047045	pigeon guillemot, cepphus columba
n02047411	common murre, uria aalge
n02047517	thick billed murre, uria lomvia
n02047260	murre
n02046759	guillemot
n02045369	auk
n02047975	atlantic puffin, fratercula arctica
n02048115	horned puffin, fratercula corniculata
n02048353	tufted puffin, lunda cirrhata
n02047614	puffin
n02049088	loon, diver
n02048698	gaviiform seabird
n02050313	great crested grebe, podiceps cristatus
n02050442	red necked grebe, podiceps grisegena
n02050586	black necked grebe, eared grebe, podiceps nigricollis
n02050809	dabchick, little grebe, podiceps ruficollis
n02051059	pied billed grebe, podilymbus podiceps
n02050004	grebe
n02049532	podicipitiform seabird
n02052204	white pelican, pelecanus erythrorhynchos
n02052365	old world white pelican, pelecanus onocrotalus
n02051845	pelican
n02052775	frigate bird, man of war bird
n02053425	solan, solan goose, solant goose, sula bassana
n02053584	booby
n02053083	gannet
n02054036	cormorant, phalacrocorax carbo
n02054711	water turkey, anhinga anhinga
n02054502	snakebird, anhinga, darter
n02055107	tropic bird, tropicbird, boatswain bird
n02051474	pelecaniform seabird
n02056228	adelie, adelie penguin, pygoscelis adeliae
n02056570	king penguin, aptenodytes patagonica
n02056728	emperor penguin, aptenodytes forsteri
n02057035	jackass penguin, spheniscus demersus
n02057330	rock hopper, crested penguin
n02055658	sphenisciform seabird
n02057898	procellariiform seabird
n02058594	wandering albatross, diomedea exulans
n02058747	black footed albatross, gooney, gooney bird, goonie, goony, diomedea nigripes
n02058221	albatross, mollymawk
n02059541	white chinned petrel, procellaria aequinoctialis
n02059852	giant petrel, giant fulmar, macronectes giganteus
n02060133	fulmar, fulmar petrel, fulmarus glacialis
n02060569	manx shearwater, puffinus puffinus
n02060411	shearwater
n02061217	stormy petrel, northern storm petrel, hydrobates pelagicus
n02061560	mother carey's chicken, mother carey's hen, oceanites oceanicus
n02060889	storm petrel
n02059162	petrel
n02061853	diving petrel
n02057731	pelagic bird, oceanic bird
n02021795	seabird, sea bird, seafowl
n01844917	aquatic bird
n02511730	twitterer
n01503061	bird
